elapsed_s	provider	count	approx_bytes
0.137	ImageAssetRepository.decodedImages	0	0
0.137	RetainedFrameIndex.placedByIdentity	353	4180
0.137	TextLayoutCache.entries	163	-
0.137	AnimationController.activeAnimations	0	-
0.137	TextFigureSupport.metricsCache	2	-
0.137	MeasurementCache.entriesByIdentity	666	-
0.137	ViewGraph.nodesByIdentity	428	-
0.137	MemoryMetricRegistry.providerCount	7	-
0.646	ImageAssetRepository.decodedImages	0	0
0.646	RetainedFrameIndex.placedByIdentity	353	4180
0.646	TextLayoutCache.entries	163	-
0.646	AnimationController.activeAnimations	2	-
0.646	TextFigureSupport.metricsCache	2	-
0.646	MeasurementCache.entriesByIdentity	657	-
0.646	ViewGraph.nodesByIdentity	428	-
0.646	MemoryMetricRegistry.providerCount	7	-
1.148	ImageAssetRepository.decodedImages	0	0
1.148	RetainedFrameIndex.placedByIdentity	353	4180
1.148	TextLayoutCache.entries	163	-
1.148	AnimationController.activeAnimations	2	-
1.148	TextFigureSupport.metricsCache	2	-
1.148	MeasurementCache.entriesByIdentity	665	-
1.148	ViewGraph.nodesByIdentity	428	-
1.148	MemoryMetricRegistry.providerCount	7	-
1.651	ImageAssetRepository.decodedImages	0	0
1.651	RetainedFrameIndex.placedByIdentity	353	4180
1.651	TextLayoutCache.entries	163	-
1.651	AnimationController.activeAnimations	2	-
1.651	TextFigureSupport.metricsCache	2	-
1.651	MeasurementCache.entriesByIdentity	666	-
1.651	ViewGraph.nodesByIdentity	428	-
1.651	MemoryMetricRegistry.providerCount	7	-
2.160	ImageAssetRepository.decodedImages	0	0
2.160	RetainedFrameIndex.placedByIdentity	353	4180
2.160	TextLayoutCache.entries	163	-
2.160	AnimationController.activeAnimations	2	-
2.160	TextFigureSupport.metricsCache	2	-
2.160	MeasurementCache.entriesByIdentity	666	-
2.160	ViewGraph.nodesByIdentity	428	-
2.160	MemoryMetricRegistry.providerCount	7	-
2.680	ImageAssetRepository.decodedImages	0	0
2.680	RetainedFrameIndex.placedByIdentity	353	4180
2.680	TextLayoutCache.entries	163	-
2.680	AnimationController.activeAnimations	2	-
2.680	TextFigureSupport.metricsCache	2	-
2.680	MeasurementCache.entriesByIdentity	666	-
2.680	ViewGraph.nodesByIdentity	428	-
2.680	MemoryMetricRegistry.providerCount	7	-
3.206	ImageAssetRepository.decodedImages	0	0
3.206	RetainedFrameIndex.placedByIdentity	353	4180
3.206	TextLayoutCache.entries	163	-
3.206	AnimationController.activeAnimations	2	-
3.206	TextFigureSupport.metricsCache	2	-
3.206	MeasurementCache.entriesByIdentity	667	-
3.206	ViewGraph.nodesByIdentity	428	-
3.206	MemoryMetricRegistry.providerCount	7	-
3.731	ImageAssetRepository.decodedImages	0	0
3.731	RetainedFrameIndex.placedByIdentity	353	4180
3.731	TextLayoutCache.entries	163	-
3.731	AnimationController.activeAnimations	2	-
3.731	TextFigureSupport.metricsCache	2	-
3.731	MeasurementCache.entriesByIdentity	667	-
3.731	ViewGraph.nodesByIdentity	428	-
3.731	MemoryMetricRegistry.providerCount	7	-
4.233	ImageAssetRepository.decodedImages	0	0
4.233	RetainedFrameIndex.placedByIdentity	353	4180
4.233	TextLayoutCache.entries	163	-
4.233	AnimationController.activeAnimations	2	-
4.233	TextFigureSupport.metricsCache	2	-
4.233	MeasurementCache.entriesByIdentity	656	-
4.233	ViewGraph.nodesByIdentity	428	-
4.233	MemoryMetricRegistry.providerCount	7	-
4.734	ImageAssetRepository.decodedImages	0	0
4.734	RetainedFrameIndex.placedByIdentity	353	4180
4.734	TextLayoutCache.entries	163	-
4.734	AnimationController.activeAnimations	2	-
4.734	TextFigureSupport.metricsCache	2	-
4.734	MeasurementCache.entriesByIdentity	666	-
4.734	ViewGraph.nodesByIdentity	428	-
4.734	MemoryMetricRegistry.providerCount	7	-
5.236	ImageAssetRepository.decodedImages	0	0
5.236	RetainedFrameIndex.placedByIdentity	353	4180
5.236	TextLayoutCache.entries	163	-
5.236	AnimationController.activeAnimations	2	-
5.236	TextFigureSupport.metricsCache	2	-
5.236	MeasurementCache.entriesByIdentity	666	-
5.236	ViewGraph.nodesByIdentity	428	-
5.236	MemoryMetricRegistry.providerCount	7	-
5.743	ImageAssetRepository.decodedImages	0	0
5.743	RetainedFrameIndex.placedByIdentity	353	4180
5.743	TextLayoutCache.entries	163	-
5.743	AnimationController.activeAnimations	2	-
5.743	TextFigureSupport.metricsCache	2	-
5.743	MeasurementCache.entriesByIdentity	667	-
5.743	ViewGraph.nodesByIdentity	428	-
5.743	MemoryMetricRegistry.providerCount	7	-
6.249	ImageAssetRepository.decodedImages	0	0
6.249	RetainedFrameIndex.placedByIdentity	353	4180
6.249	TextLayoutCache.entries	163	-
6.249	AnimationController.activeAnimations	2	-
6.249	TextFigureSupport.metricsCache	2	-
6.249	MeasurementCache.entriesByIdentity	666	-
6.249	ViewGraph.nodesByIdentity	428	-
6.249	MemoryMetricRegistry.providerCount	7	-
6.754	ImageAssetRepository.decodedImages	0	0
6.754	RetainedFrameIndex.placedByIdentity	353	4180
6.754	TextLayoutCache.entries	163	-
6.754	AnimationController.activeAnimations	2	-
6.754	TextFigureSupport.metricsCache	2	-
6.754	MeasurementCache.entriesByIdentity	666	-
6.754	ViewGraph.nodesByIdentity	428	-
6.754	MemoryMetricRegistry.providerCount	7	-
7.255	ImageAssetRepository.decodedImages	0	0
7.255	RetainedFrameIndex.placedByIdentity	353	4180
7.255	TextLayoutCache.entries	163	-
7.255	AnimationController.activeAnimations	2	-
7.255	TextFigureSupport.metricsCache	2	-
7.255	MeasurementCache.entriesByIdentity	666	-
7.255	ViewGraph.nodesByIdentity	428	-
7.255	MemoryMetricRegistry.providerCount	7	-
7.781	ImageAssetRepository.decodedImages	0	0
7.781	RetainedFrameIndex.placedByIdentity	353	4180
7.781	TextLayoutCache.entries	163	-
7.781	AnimationController.activeAnimations	2	-
7.781	TextFigureSupport.metricsCache	2	-
7.781	MeasurementCache.entriesByIdentity	658	-
7.781	ViewGraph.nodesByIdentity	428	-
7.781	MemoryMetricRegistry.providerCount	7	-
8.292	ImageAssetRepository.decodedImages	0	0
8.292	RetainedFrameIndex.placedByIdentity	353	4180
8.292	TextLayoutCache.entries	163	-
8.292	AnimationController.activeAnimations	2	-
8.292	TextFigureSupport.metricsCache	2	-
8.292	MeasurementCache.entriesByIdentity	666	-
8.292	ViewGraph.nodesByIdentity	428	-
8.292	MemoryMetricRegistry.providerCount	7	-
8.793	ImageAssetRepository.decodedImages	0	0
8.793	RetainedFrameIndex.placedByIdentity	353	4180
8.793	TextLayoutCache.entries	163	-
8.793	AnimationController.activeAnimations	2	-
8.793	TextFigureSupport.metricsCache	2	-
8.793	MeasurementCache.entriesByIdentity	666	-
8.793	ViewGraph.nodesByIdentity	428	-
8.793	MemoryMetricRegistry.providerCount	7	-
9.296	ImageAssetRepository.decodedImages	0	0
9.296	RetainedFrameIndex.placedByIdentity	353	4180
9.296	TextLayoutCache.entries	163	-
9.296	AnimationController.activeAnimations	2	-
9.296	TextFigureSupport.metricsCache	2	-
9.296	MeasurementCache.entriesByIdentity	657	-
9.296	ViewGraph.nodesByIdentity	428	-
9.296	MemoryMetricRegistry.providerCount	7	-
9.802	ImageAssetRepository.decodedImages	0	0
9.802	RetainedFrameIndex.placedByIdentity	353	4180
9.802	TextLayoutCache.entries	163	-
9.802	AnimationController.activeAnimations	2	-
9.802	TextFigureSupport.metricsCache	2	-
9.802	MeasurementCache.entriesByIdentity	667	-
9.802	ViewGraph.nodesByIdentity	428	-
9.802	MemoryMetricRegistry.providerCount	7	-
10.313	ImageAssetRepository.decodedImages	0	0
10.313	RetainedFrameIndex.placedByIdentity	353	4180
10.313	TextLayoutCache.entries	163	-
10.313	AnimationController.activeAnimations	2	-
10.313	TextFigureSupport.metricsCache	2	-
10.313	MeasurementCache.entriesByIdentity	666	-
10.313	ViewGraph.nodesByIdentity	428	-
10.313	MemoryMetricRegistry.providerCount	7	-
10.832	ImageAssetRepository.decodedImages	0	0
10.832	RetainedFrameIndex.placedByIdentity	353	4180
10.832	TextLayoutCache.entries	163	-
10.832	AnimationController.activeAnimations	2	-
10.832	TextFigureSupport.metricsCache	2	-
10.832	MeasurementCache.entriesByIdentity	666	-
10.832	ViewGraph.nodesByIdentity	428	-
10.832	MemoryMetricRegistry.providerCount	7	-
11.333	ImageAssetRepository.decodedImages	0	0
11.333	RetainedFrameIndex.placedByIdentity	353	4180
11.333	TextLayoutCache.entries	163	-
11.333	AnimationController.activeAnimations	2	-
11.333	TextFigureSupport.metricsCache	2	-
11.333	MeasurementCache.entriesByIdentity	666	-
11.333	ViewGraph.nodesByIdentity	428	-
11.333	MemoryMetricRegistry.providerCount	7	-
11.837	ImageAssetRepository.decodedImages	0	0
11.837	RetainedFrameIndex.placedByIdentity	353	4180
11.837	TextLayoutCache.entries	163	-
11.837	AnimationController.activeAnimations	2	-
11.837	TextFigureSupport.metricsCache	2	-
11.837	MeasurementCache.entriesByIdentity	659	-
11.837	ViewGraph.nodesByIdentity	428	-
11.837	MemoryMetricRegistry.providerCount	7	-
12.386	ImageAssetRepository.decodedImages	0	0
12.386	RetainedFrameIndex.placedByIdentity	353	4180
12.386	TextLayoutCache.entries	163	-
12.386	AnimationController.activeAnimations	0	-
12.386	TextFigureSupport.metricsCache	2	-
12.386	MeasurementCache.entriesByIdentity	666	-
12.386	ViewGraph.nodesByIdentity	428	-
12.386	MemoryMetricRegistry.providerCount	7	-
12.897	ImageAssetRepository.decodedImages	0	0
12.897	RetainedFrameIndex.placedByIdentity	353	4180
12.897	TextLayoutCache.entries	163	-
12.897	AnimationController.activeAnimations	2	-
12.897	TextFigureSupport.metricsCache	2	-
12.897	MeasurementCache.entriesByIdentity	666	-
12.897	ViewGraph.nodesByIdentity	428	-
12.897	MemoryMetricRegistry.providerCount	7	-
13.401	ImageAssetRepository.decodedImages	0	0
13.401	RetainedFrameIndex.placedByIdentity	353	4180
13.401	TextLayoutCache.entries	163	-
13.401	AnimationController.activeAnimations	2	-
13.401	TextFigureSupport.metricsCache	2	-
13.401	MeasurementCache.entriesByIdentity	654	-
13.401	ViewGraph.nodesByIdentity	428	-
13.401	MemoryMetricRegistry.providerCount	7	-
13.907	ImageAssetRepository.decodedImages	0	0
13.907	RetainedFrameIndex.placedByIdentity	353	4180
13.907	TextLayoutCache.entries	163	-
13.907	AnimationController.activeAnimations	2	-
13.907	TextFigureSupport.metricsCache	2	-
13.907	MeasurementCache.entriesByIdentity	666	-
13.907	ViewGraph.nodesByIdentity	428	-
13.907	MemoryMetricRegistry.providerCount	7	-
14.418	ImageAssetRepository.decodedImages	0	0
14.418	RetainedFrameIndex.placedByIdentity	353	4180
14.418	TextLayoutCache.entries	163	-
14.418	AnimationController.activeAnimations	2	-
14.418	TextFigureSupport.metricsCache	2	-
14.418	MeasurementCache.entriesByIdentity	666	-
14.418	ViewGraph.nodesByIdentity	428	-
14.418	MemoryMetricRegistry.providerCount	7	-
14.930	ImageAssetRepository.decodedImages	0	0
14.930	RetainedFrameIndex.placedByIdentity	353	4180
14.930	TextLayoutCache.entries	163	-
14.930	AnimationController.activeAnimations	2	-
14.930	TextFigureSupport.metricsCache	2	-
14.930	MeasurementCache.entriesByIdentity	666	-
14.930	ViewGraph.nodesByIdentity	428	-
14.930	MemoryMetricRegistry.providerCount	7	-
15.434	ImageAssetRepository.decodedImages	0	0
15.434	RetainedFrameIndex.placedByIdentity	353	4180
15.434	TextLayoutCache.entries	163	-
15.434	AnimationController.activeAnimations	2	-
15.434	TextFigureSupport.metricsCache	2	-
15.434	MeasurementCache.entriesByIdentity	660	-
15.434	ViewGraph.nodesByIdentity	428	-
15.434	MemoryMetricRegistry.providerCount	7	-
15.938	ImageAssetRepository.decodedImages	0	0
15.938	RetainedFrameIndex.placedByIdentity	353	4180
15.938	TextLayoutCache.entries	163	-
15.938	AnimationController.activeAnimations	2	-
15.938	TextFigureSupport.metricsCache	2	-
15.938	MeasurementCache.entriesByIdentity	666	-
15.938	ViewGraph.nodesByIdentity	428	-
15.938	MemoryMetricRegistry.providerCount	7	-
16.446	ImageAssetRepository.decodedImages	0	0
16.446	RetainedFrameIndex.placedByIdentity	353	4180
16.446	TextLayoutCache.entries	163	-
16.446	AnimationController.activeAnimations	2	-
16.446	TextFigureSupport.metricsCache	2	-
16.446	MeasurementCache.entriesByIdentity	666	-
16.446	ViewGraph.nodesByIdentity	428	-
16.446	MemoryMetricRegistry.providerCount	7	-
16.947	ImageAssetRepository.decodedImages	0	0
16.947	RetainedFrameIndex.placedByIdentity	353	4180
16.947	TextLayoutCache.entries	163	-
16.947	AnimationController.activeAnimations	2	-
16.947	TextFigureSupport.metricsCache	2	-
16.947	MeasurementCache.entriesByIdentity	661	-
16.947	ViewGraph.nodesByIdentity	428	-
16.947	MemoryMetricRegistry.providerCount	7	-
17.458	ImageAssetRepository.decodedImages	0	0
17.458	RetainedFrameIndex.placedByIdentity	353	4180
17.458	TextLayoutCache.entries	163	-
17.458	AnimationController.activeAnimations	2	-
17.458	TextFigureSupport.metricsCache	2	-
17.458	MeasurementCache.entriesByIdentity	667	-
17.458	ViewGraph.nodesByIdentity	428	-
17.458	MemoryMetricRegistry.providerCount	7	-
17.960	ImageAssetRepository.decodedImages	0	0
17.960	RetainedFrameIndex.placedByIdentity	353	4180
17.960	TextLayoutCache.entries	163	-
17.960	AnimationController.activeAnimations	2	-
17.960	TextFigureSupport.metricsCache	2	-
17.960	MeasurementCache.entriesByIdentity	666	-
17.960	ViewGraph.nodesByIdentity	428	-
17.960	MemoryMetricRegistry.providerCount	7	-
18.480	ImageAssetRepository.decodedImages	0	0
18.480	RetainedFrameIndex.placedByIdentity	353	4180
18.480	TextLayoutCache.entries	163	-
18.480	AnimationController.activeAnimations	2	-
18.480	TextFigureSupport.metricsCache	2	-
18.480	MeasurementCache.entriesByIdentity	657	-
18.480	ViewGraph.nodesByIdentity	428	-
18.480	MemoryMetricRegistry.providerCount	7	-
19.006	ImageAssetRepository.decodedImages	0	0
19.006	RetainedFrameIndex.placedByIdentity	353	4180
19.006	TextLayoutCache.entries	163	-
19.006	AnimationController.activeAnimations	2	-
19.006	TextFigureSupport.metricsCache	2	-
19.006	MeasurementCache.entriesByIdentity	667	-
19.006	ViewGraph.nodesByIdentity	428	-
19.006	MemoryMetricRegistry.providerCount	7	-
19.509	ImageAssetRepository.decodedImages	0	0
19.509	RetainedFrameIndex.placedByIdentity	353	4180
19.509	TextLayoutCache.entries	163	-
19.509	AnimationController.activeAnimations	2	-
19.509	TextFigureSupport.metricsCache	2	-
19.509	MeasurementCache.entriesByIdentity	666	-
19.509	ViewGraph.nodesByIdentity	428	-
19.509	MemoryMetricRegistry.providerCount	7	-
20.016	ImageAssetRepository.decodedImages	0	0
20.016	RetainedFrameIndex.placedByIdentity	353	4180
20.016	TextLayoutCache.entries	163	-
20.016	AnimationController.activeAnimations	2	-
20.016	TextFigureSupport.metricsCache	2	-
20.016	MeasurementCache.entriesByIdentity	654	-
20.016	ViewGraph.nodesByIdentity	428	-
20.016	MemoryMetricRegistry.providerCount	7	-
